systemTime,ipAddress,symmetric,willingness,isMultiPointRelay,wasMultiPointRelay,multiPointRelaySelector,linkcount,twoHopNeighborCount,currentLinkStatus,lostLinkTime,helloTime,lossHelloInterval,lossTime,linkCost,linkQuality,neighborLinkQuality1,uplinkKbps,downlinkKbps,RSSI value,AVG RSSI value,trend,tau,Connected
1711543303,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,1299,9.726562,0.937,0.94,128,1024,-41,-43,1,0.866667,1
1711543305,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,1346,9.527344,0.94,0.94,128,1024,-43,-42,1,0.885714,1
1711543307,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,1648,8.921875,0.944,0.937,128,1024,-39,-39,1,0.847619,1
1711543309,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,1397,8.916992,0.944,0.94,128,1024,-35,-38,1,0.771429,1
1711543311,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,1498,8.663086,0.968,0.968,128,1024,-40,-39,1,0.67619,1
1711543313,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,1798,8.448242,0.968,0.968,128,1024,-37,-38,1,0.571429,1
1711543315,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,1546,8.479492,0.94,0.968,128,1024,-40,-38,1,0.428571,1
1711543317,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,1599,8.889648,0.94,0.968,128,1024,-40,-39,1,0.247619,1
1711543319,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,1948,8.694336,0.94,0.968,128,1024,-43,-39,1,0.085714,1
1711543321,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,1648,8.780273,0.968,0.968,128,1024,-36,-38,0,0,1
1711543323,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,1696,8.625977,0.968,1,128,1024,-40,-39,0,0,1
1711543325,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,2048,8.474609,0.968,1,128,1024,-41,-39,0,0,1
1711543327,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,1795,8.325195,0.968,1,128,1024,-38,-39,0,0,1
1711543329,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,1847,8.179688,0.968,1,128,1024,-39,-40,0,0,1
1711543331,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,2248,8.036133,0.968,1,128,1024,-35,-39,0,0,1
1711543333,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,1947,7.895508,0.972,1,128,1024,-29,-36,0,0,1
1711543335,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,2048,7.757812,0.972,1,128,1024,-36,-38,0,0,1
1711543337,192.168.11.35,TRUE,3,FALSE,FALSE,TRUE,1,0,SYMMETRIC,0,0,2000,2099,7.623047,0.972,1,128,1024,-30,-36,0,0,1
1711543339,192.168.11.35,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2098,7.491211,0.968,1,128,1024,-37,-35,0,0,1
1711543341,192.168.11.35,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2148,7.361328,0.968,1,128,1024,-34,-34,0,0,1
1711543343,192.168.11.35,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2499,7.297852,0.968,1,128,1024,-36,-35,0,0,1
1711543345,192.168.11.35,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2248,7.110352,0.972,1,128,1024,-36,-34,0,-0.2,1
1711543347,192.168.11.35,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,246,6.988281,0.968,1,128,1024,-38,-35,0,-0.238095,1
1711543349,192.168.11.35,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2700,6.928711,0.968,1,128,1024,-38,-35,0,-0.228571,1
1711543351,192.168.11.35,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2399,6.751953,0.972,1,128,1024,-38,-35,0,-0.171429,1
1711543353,192.168.11.35,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2400,6.636719,0.972,1,128,1024,-35,-36,0,0,1
1711543355,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,2800,6.580078,0.972,1,128,1024,-36,-35,0,0,1
1711543357,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,2497,6.414062,0.972,1,128,1024,-34,-35,0,0,1
1711543359,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,2548,6.305664,0.972,1,128,1024,-36,-35,0,0,0.8
1711543361,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,2949,6.251953,0.972,1,128,1024,-40,-37,0,0,0.8
1711543363,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,2648,6.095703,0.972,1,128,1024,-36,-36,0,0,1
1711543365,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,2699,5.994141,0.968,1,128,1024,-42,-37,0,0,1
1711543367,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,3000,5.944336,0.968,1,128,1024,-42,-41,0,0,1
1711543369,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,2750,5.796875,0.968,1,128,1024,-48,-43,0,0,1
1711543371,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,2850,5.701172,0.968,1,128,1024,-43,-46,0,0.133333,1
1711543373,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,1198,5.654297,0.972,1,128,1024,-48,-47,0,0.247619,1
1711543375,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,2950,5.515625,0.968,1,128,1024,-48,-46,0,0.495238,1
1711543377,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,2949,5.425781,0.968,1,128,1024,-49,-47,0,0.609524,1
1711543379,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,1346,10.617188,0.972,1,128,1024,-54,-52,1,0.647619,1
1711543381,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,1048,11.585938,1,1,128,1024,-57,-53,1,0.752381,1
1711543383,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,1094,12.386719,1,1,128,1024,-58,-57,1,0.780952,1
1711543385,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,1497,12.386719,1,1,128,1024,-61,-60,1,0.780952,1
1711543387,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,1147,13.1875,1,1,128,1024,-65,-61,1,0.790476,1
1711543389,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,1196,13.382812,1,1,128,1024,-62,-62,1,0.809524,1
1711543391,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,1598,13.410156,0.972,1,128,1024,-65,-64,1,0.828571,1
1711543393,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,1297,13.415039,0.968,1,128,1024,-64,-62,1,0.838095,1
1711543395,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,1349,13.415039,0.968,1,128,1024,-60,-61,1,0.819048,1
1711543397,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,1749,13.219727,0.968,1,128,1024,-63,-62,1,0.809524,1
1711543399,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,1448,13.415039,0.968,1,128,1024,-63,-62,1,0.771429,1
1711543401,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,1496,13.219727,0.968,1,128,1024,-64,-61,1,0.695238,1
1711543403,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,1948,14.21582,0.968,1,128,1024,-67,-67,1,0.67619,1
1711543405,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,1546,14.21582,0.968,1,128,1024,-68,-66,1,0.657143,1
1711543407,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,1597,14.621094,0.972,1,128,1024,-69,-68,1,0.657143,1
1711543409,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,2049,15.231445,0.968,1,128,1024,-72,-71,1,0.647619,1
1711543411,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,1748,15.817383,0.968,1,128,1024,-71,-74,1,0.704762,1
1711543413,192.168.11.35,TRUE,3,TRUE,TRUE,FALSE,1,0,SYMMETRIC,0,0,2000,1798,16.027344,0.972,1,128,1024,-73,-74,1,0.761905,1
