systemTime,ipAddress,symmetric,willingness,isMultiPointRelay,wasMultiPointRelay,multiPointRelaySelector,linkcount,twoHopNeighborCount,currentLinkStatus,lostLinkTime,helloTime,lossHelloInterval,lossTime,linkCost,linkQuality,neighborLinkQuality1,uplinkKbps,downlinkKbps,RSSI value,AVG RSSI value,trend,tau,Connected
1711549435,192.168.11.56,TRUE,3,TRUE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,2799,1.141602,1,1,128,1024,-32,-35,0,0,1
1711549437,192.168.11.56,TRUE,3,TRUE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,2498,1.137695,1,1,128,1024,-42,-38,0,0,1
1711549439,192.168.11.56,TRUE,3,TRUE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,2099,1.133789,1,1,128,1024,-45,-41,0,0.028571,1
1711549441,192.168.11.56,TRUE,3,TRUE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,1496,1.129883,1,1,128,1024,-47,-42,0,0.038095,1
1711549443,192.168.11.56,TRUE,3,TRUE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,1244,1.125977,1,1,128,1024,-43,-45,0,0.038095,1
1711549445,192.168.11.56,TRUE,3,TRUE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,1698,1.12207,1,1,128,1024,-54,-51,0,0.247619,1
1711549447,192.168.11.56,TRUE,3,TRUE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,2547,1.118164,1,1,128,1024,-58,-50,0,0.409524,1
1711549449,192.168.11.56,TRUE,3,TRUE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,2547,1.114258,1,1,128,1024,-60,-52,0,0.561905,1
1711549451,192.168.11.56,TRUE,3,TRUE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,1196,11.390625,1,1,128,1024,-59,-55,1,0.685714,1
1711549453,192.168.11.56,TRUE,3,TRUE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,2348,11.996094,1,1,128,1024,-60,-55,1,0.761905,1
1711549455,192.168.11.56,TRUE,3,TRUE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,2100,12.386719,1,1,128,1024,-60,-56,1,0.809524,1
1711549457,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2550,11.996094,1,1,128,1024,-53,-57,1,0.828571,1
1711549459,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1696,11.996094,1,1,128,1024,-52,-55,1,0.828571,1
1711549461,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1398,12.582031,1,1,128,1024,-53,-57,1,0.790476,1
1711549463,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1848,12.386719,1,1,128,1024,-60,-61,1,0.752381,1
1711549465,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1647,12.796875,1,1,128,1024,-57,-60,1,0.752381,1
1711549467,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1395,13.382812,1,1,128,1024,-63,-62,1,0.742857,1
1711549469,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1697,13.1875,1,1,128,1024,-60,-63,1,0.733333,1
1711549471,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2448,13.382812,1,1,128,1024,-59,-61,1,0.714286,1
1711549473,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2298,13.1875,1,1,128,1024,-56,-60,1,0.666667,1
1711549475,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2900,12.796875,1,1,128,1024,-51,-58,1,0.666667,1
1711549477,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1949,12.582031,1,1,128,1024,-58,-58,1,0.6,1
1711549479,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1748,12.796875,1,1,128,1024,-61,-59,1,0.485714,1
1711549481,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2047,12.796875,1,1,128,1024,-60,-60,1,0.333333,1
1711549483,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,3000,12.796875,1,1,128,1024,-59,-59,1,0.190476,1
1711549485,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2748,13.1875,1,1,128,1024,-61,-61,1,0,1
1711549487,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1394,12.944336,1,1,128,1024,-62,-60,0,0.019048,0.8
1711549489,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2448,12.705078,1,1,128,1024,-63,-60,0,0,0.8
1711549491,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2397,12.47168,1,1,128,1024,-66,-65,0,0,1
1711549493,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2749,12.242188,1,1,128,1024,-56,-64,0,0.133333,1
1711549495,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1848,12.017578,1,1,128,1024,-68,-63,0,0.247619,1
1711549497,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1747,11.797852,1,1,128,1024,-70,-65,0,0.342857,1
1711549499,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2098,11.582031,1,1,128,1024,-67,-68,0,0.419048,1
